Total mana,TAG,Tag name,ADM/DIP/MIL,Age,Personalities,Name,Dynasty
12,G64,Larankar,4/3/5,58,['inspiring_leader_personality'],Seronraha,Kaonrippavar
7,H03,Dearktir,2/1/4,13,[],Denarion,Strongarm
10,H04,Elchos,4/3/3,8,[],Liandiel,Goldtree
10,H06,Sidpar,4/4/2,6,[],Seronna,Swiftsword
9,H08,Pelomar,3/2/4,4,[],Pelodan,Oathsworn
10,H09,Iadth,2/4/4,12,[],Celadora,Lightkeeper
11,H11,Sglard,2/5/4,22,[],Galhan,Copperheart
12,H12,Raithtall,3/5/4,10,[],Galhan,Oakgardner
8,H13,Jhorgashirr,2/3/3,6,[],Jahair,Frostguard
9,H15,Slegcal,4/2/3,12,[],Lallatha,Firstborn
9,H17,Reotcrab,4/2/3,10,[],Nestrin,Winterstrider
12,H18,Gelcolle,3/5/4,18,[],Allor,Whitehand
10,H19,Strutmar,3/5/2,5,[],Kamnar,Truearrow
11,H20,Trimgarb,4/3/4,5,[],Finnoran,Whispershadow
9,H25,Stenurynn,4/2/3,13,[],Lodisard,yenStenur
12,H77,Ovdal Lodhum,4/3/5,17,[],Balgar,Orcrend
10,H80,Siegebreaker,3/2/5,18,['conqueror_personality'],Vrog,Siegebreaker
12,H88,Ambersniffer,4/4/4,17,[],Mit,Mit
13,I26,Salla Elyn,3/6/4,48,"['immortal_personality', 'scholar_personality']",Farwen,Elyn
9,I29,Salla Cenag,3/2/4,48,"['immortal_personality', 'martial_educator_personality', 'strict_personality']",Iras,Cenág
9,I30,Salla Fealgarn,3/2/4,48,"['immortal_personality', 'martial_educator_personality', 'strict_personality']",Urion,Fealgarn
12,I33,Salla Ayeth,3/3/6,93,['immortal_personality'],Elaria,Ayeth
14,I37,Verminhusk,4/4/6,7,['infertile_personality'],Vucruk,Verminhusk
8,I38,Beasteater,3/1/4,12,[],Corgak,Beasteater
9,I40,Cursed Howl,4/1/4,24,['bold_fighter_personality'],Mobrag,CursedHowl
9,I41,Sapchopper,3/1/5,4,[],Grarn,Sapchopper
9,I44,Silvertusk,4/1/4,17,['bold_fighter_personality'],Borgan,Silvertusk
14,J32,Mire Maw,5/4/5,6,[],Farkle,MireMaw
10,J36,Kvakolba,4/4/2,14,[],Toghr,Stoneheart
10,J39,Achtejardon,3/4/3,17,[],Mokran,Chainlord
13,J42,Grey Fist,4/5/4,4,[],Ghon,GreyFist
13,J44,Skull Gnasher,3/4/6,4,[],Vogh,SkullGnasher
4,L34,Tvarateram,1/1/2,24,['kind_hearted_personality'],Manadafy,Ashfarmer
10,L37,Mihitarab,2/2/6,22,['mage_personality'],Haingo,Mouthersbane
11,L38,Rayafo,3/3/5,11,['conqueror_personality'],Rainilaiarivony,Meblic
11,L41,Hasakely,4/3/4,13,['conqueror_personality'],Maribolana,Hasakely
10,L52,Bamdikizy,2/3/5,17,['conqueror_personality'],Ravaka,Ranmaro
10,L66,Simegasa,1/4/5,19,['inspiring_leader_personality'],Jareer,ijeHajo-Abera
15,L69,Zerat,4/5/6,30,[],Teranak,Scaleguard
6,L70,Khugra,2/3/1,12,[],Kazrek,Wavelistener
12,L72,Zatsuti,2/5/5,26,[],Razo,Starlance
16,L79,Rshak,5/5/6,12,[],Razo,Wiseblood
11,L81,Yassa,6/2/3,36,[],Mitra,Skyfoam
13,L83,Shangra,4/6/3,13,[],Imux,Stareer
11,L85,Ashakani,4/5/2,2,[],Siltaru,Starlance
9,L94,Shagadyrra,5/1/3,2,[],VakhashaI,Waterwise
16,L95,Rayaz,6/5/5,23,[],Sykar,Riverclaw
10,L97,Arazin,4/1/5,6,[],Serakz,Riverclaw
9,L98,Yushyn,1/5/3,5,[],Rhiz,Hillstrider
9,R07,Rajnadhaga,3/2/4,1,[],Mohri,Jhuti
11,R10,Sarnavan,2/5/4,4,[],Gopalar,oftheLotusClaw
10,R23,Keyattordha,2/5/3,2,[],Shushuri,oftheBloodyClaw
11,R51,Dhenijanraj,2/5/4,4,[],Indrapalar,oftheLotusClaw
8,S11,Natani,1/2/5,17,[],Surkind,Clearnight
8,S12,Ksataza,1/6/1,41,[],Itros,Starwalker
15,S15,Karshyr,5/6/4,11,[],Irdar,Seabreaker
10,S24,S24,3/6/1,4,[],Kebek,ijeTamru-Baati
13,S25,S25,4/6/3,21,['charismatic_negotiator_personality'],Radin,ijeKajen-Aban
12,S44,S44,1/5/6,0,[],Akau,ijeMelas-Akau
8,S46,Dugiti,3/4/1,8,[],Owe,ijeYemane-Calib
8,S54,S54,2/1/5,2,[],Amirku,ijeJadiku-Yemane
10,S56,S56,2/4/4,14,[],Asor,ijeSabiku-Tafari
15,S57,S57,6/5/4,10,[],Ayufari,ijeMelaku-Goshan
8,S66,S66,2/4/2,17,[],Jira,ijeBona-Satifari
9,S67,S67,1/3/5,17,['martial_educator_personality'],Lishan,ijeKiros-Jenas
12,U15,Marble Head Clan,4/4/4,19,['tolerant_personality'],Perzuk,pobnek-Vakkra
10,U23,Selocshana,2/2/6,32,['sinner_personality'],Yarven,yenNizel
9,U25,Adbraseloc,3/3/3,13,['calm_personality'],Momir,yenKovesdir
8,U26,Lisicalrevo,0/6/2,21,[],Elanqir,yenLisia
13,Y01,Azjakuma,4/3/6,29,['conqueror_personality'],Akira,Surgoshi
15,Y63,Verkal Ozovar,5/6/4,44,[],Kozen,Krakovar
9,Y73,Sirtan,2/1/6,24,['inspiring_leader_personality'],SamAgi,Pasiri
10,Y74,Pelimkana,2/4/4,19,['silver_tongue_personality'],Enggrek,Pelimkana
6,Y76,Hebat Hari,3/1/2,4,[],Ridwan,JayaRaya
5,Y78,Bukit Bantay,2/2/1,15,['craven_personality'],Karinga,BukitBantay
9,Y93,Daengun,4/2/3,26,['free_thinker_personality'],Haeng,Gyo
11,Z08,Bjarnrik,3/3/5,16,['inspiring_leader_personality'],Lars,Bjarnsson
9,Z11,Sidaett,2/1/6,19,['strict_personality'],Rolf,Sidaett
13,Z14,Avnkaup,3/5/5,12,[],Ragnar,Fjordsson
9,Z15,Urviksten,4/1/4,34,['fertile_personality'],Gunnar,Ebonfrost
10,Z17,Obrtrol,4/2/4,14,[],Barg,Hardrock
11,Z18,Frozenmaw,4/3/4,16,['kind_hearted_personality'],Marosh,Frozenmaw
12,Z26,Adshaw,4/3/5,18,['bold_fighter_personality'],Rycroft,Adshaw
