Total mana,TAG,Tag name,ADM/DIP/MIL,Age,Personalities,Name,Dynasty,Country of origin
9,H20,Trimgarb,2/4/3,27,[],Talar,Forestgate,H19
10,H77,Ovdal Lodhum,3/5/2,54,[],Dwalra,Garnetpick,H77
13,I26,Salla Elyn,4/6/3,188,['immortal_personality'],Urariel,Myna,I27
9,I29,Salla Cenag,6/1/2,85,"['immortal_personality', 'incorruptible_personality', 'lawgiver_personality']",Lanhara,Ayeth,I33
13,I30,Salla Fealgarn,4/6/3,107,"['immortal_personality', 'incorruptible_personality', 'lawgiver_personality']",Olfyra,Scotha,I31
6,I36,Spiked Log,1/2/3,24,[],Zoorda,Verminhusk,I37
18,I37,Verminhusk,6/6/6,71,"['immortal_personality', 'mage_personality', 'cruel_personality']",Selsusa,Ghúl,I34
7,I38,Beasteater,3/3/1,29,[],Dugda,Silvertusk,I44
6,I40,Cursed Howl,2/1/3,39,[],Urda,Silentblade,I43
13,I41,Sapchopper,5/5/3,20,[],Bor,Silvertusk,I44
7,I44,Silvertusk,2/3/2,32,[],Ghorza,Sapchopper,I41
13,J32,Mire Maw,3/5/5,37,[],Floria,Faraway,N/A
8,J36,Kvakolba,3/4/1,36,[],Mujagh,Gravelhide,I90
12,J38,Remlygenjrot,2/6/4,26,[],Tiraga,Strongrock,J35
9,J39,Achtejardon,2/2/5,46,[],Agha,Spinebreaker,J38
14,L37,Mihitarab,5/5/4,55,"['mage_personality', 'just_personality', 'free_thinker_personality']",Solo,Seagaze,N/A
9,L41,Hasakely,3/2/4,53,"['well_advised_personality', 'loose_lips_personality', 'zealot_personality']",Raozey,Mpaomboly,N/A
8,L44,Ananiltra,4/3/1,30,['mage_personality'],Enampro,Dreamweaver,L46
10,L46,Amezajik,3/2/5,35,['strict_personality'],Volana,Stromcrowned,L44
7,R07,Rajnadhaga,3/3/1,31,['fertile_personality'],Anokhi,Khalon,N/A
9,R23,Keyattordha,4/4/1,44,[],Ramnath,oftheUndyingFlame,N/A
7,R49,Parusad Bhola,5/1/1,53,[],Ramnath,oftheRubyGarden,N/A
7,Y73,Sirtan,2/3/2,44,[],Tumata,Rantai,N/A
11,Y76,Hebat Hari,3/6/2,32,[],Miri,JawakSinta,N/A
8,Y77,Kaplakawan,3/3/2,26,[],Nanihi,Pelimkana,Y74
8,Y80,Menek Poko,2/4/2,20,[],Tevai,Gunung,N/A
10,Y93,Daengun,4/3/3,49,['kind_hearted_personality'],Gyuri,Choi,Y95
9,Z08,Bjarnrik,1/5/3,37,['well_connected_personality'],Grethe,Sidaett,Z11
7,Z11,Sidaett,3/3/1,56,['calm_personality'],Svanhild,Ravman,Z11
7,Z14,Avnkaup,3/2/2,31,['drunkard_personality'],Karin,Olavsby,Z14
7,Z15,Urviksten,2/3/2,63,[],Jytte,ofUrviksten,Z15
10,Z16,Olavlund,4/3/3,37,['lawgiver_personality'],Hulda,Svensson,Z16
5,Z17,Obrtrol,0/0/5,43,[],Fulgurk'theSmasher',Stronghide,Z17
7,Z18,Frozenmaw,2/5/0,31,[],Frida,Vrorensson,Z45
11,Z26,Adshaw,5/4/2,43,[],Myra,Vrorensson,Z45
