Province name,Province number,Development,Base Tax,Base Production,Base manpower,Owner,Trade good,Trade node,Terrain,Religion,Owner religious status,Culture,Owner cultural status,Colonized,Has port,Climate,Winter,Monsoon,Area,Region,Superregion,Continent
Port_Munas,52,31,13,13,9,A31 - Moonhaven,naval_supplies,anbenncost,city_terrain,regent_court,Same religion,anbenncoster,Different culture group,True,True,temperate,mild_winter,no_monsoon,silverwoods_area,east_dameshead_region,western_cannor_superregion,europe
Moonhaven,53,15,7,7,4,A31 - Moonhaven,glass,anbenncost,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,mild_winter,no_monsoon,silverwoods_area,east_dameshead_region,western_cannor_superregion,europe
Dancers_Retreat,54,12,4,6,3,A31 - Moonhaven,tea,anbenncost,grasslands,regent_court,Same religion,moon_elf,Same culture,True,True,temperate,mild_winter,no_monsoon,silverwoods_area,east_dameshead_region,western_cannor_superregion,europe
Riverglade,55,12,3,6,3,A31 - Moonhaven,naval_supplies,anbenncost,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,mild_winter,no_monsoon,silverwoods_area,east_dameshead_region,western_cannor_superregion,europe
Silverwoods,56,10,3,4,3,A31 - Moonhaven,grain,anbenncost,woods,regent_court,Same religion,moon_elf,Same culture,True,True,temperate,mild_winter,no_monsoon,silverwoods_area,east_dameshead_region,western_cannor_superregion,europe
Timberfort,57,8,2,2,3,A11 - Pearlsedge,grain,anbenncost,woods,regent_court,Same religion,pearlsedger,Same culture,True,False,temperate,mild_winter,no_monsoon,pearlywine_area,west_dameshead_region,western_cannor_superregion,europe
Daromsfort,58,11,5,5,3,A02 - Deranne,livestock,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,darom_area,lencenor_region,western_cannor_superregion,europe
Roilsard,59,17,5,7,5,A01 - Lorent,wine,bay_of_wines,farmlands,regent_court,Same religion,roilsardi,Same culture group,True,True,temperate,mild_winter,no_monsoon,eastern_winebay_area,lencenor_region,western_cannor_superregion,europe
East_Saltmarsh,60,11,4,7,2,A12 - Beepeck,salt,dameshead,marsh,regent_court,Same religion,imperial_halfling,Same culture,True,True,temperate,mild_winter,no_monsoon,beepeck_area,damescrown_region,western_cannor_superregion,europe
Lorenith,61,8,4,4,2,A01 - Lorent,wool,bay_of_wines,woods,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,upper_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Rubyhold,62,29,11,11,9,A20 - Rubyhold,gems,bay_of_wines,dwarven_hold,dwarven_pantheon,Same religion,ruby_dwarf,Same culture,True,False,temperate,no_winter,no_monsoon,east_ruby_mountains_area,lencenor_region,western_cannor_superregion,europe
South_Viswall,63,22,10,10,6,A08 - South Viswall,dyes,viswall,city_terrain,regent_court,Same religion,visfoot_halfling,Same culture,True,False,temperate,mild_winter,no_monsoon,viswall_area,small_country_region,western_cannor_superregion,europe
Redgate,64,10,6,4,3,A20 - Rubyhold,iron,bay_of_wines,mountain,dwarven_pantheon,Same religion,ruby_dwarf,Same culture,True,False,temperate,severe_winter,no_monsoon,west_ruby_mountains_area,lencenor_region,western_cannor_superregion,europe
Rivergate,65,9,5,5,2,A20 - Rubyhold,wool,bay_of_wines,mountain,dwarven_pantheon,Same religion,ruby_dwarf,Same culture,True,False,temperate,severe_winter,no_monsoon,east_ruby_mountains_area,lencenor_region,western_cannor_superregion,europe
North_Viswall,66,22,10,10,6,A07 - North Viswall,dyes,viswall,city_terrain,regent_court,Same religion,visfoot_halfling,Same culture,True,False,temperate,mild_winter,no_monsoon,viswall_area,small_country_region,western_cannor_superregion,europe
Lorentaine,67,26,12,12,7,A01 - Lorent,cloth,bay_of_wines,city_terrain,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,upper_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Redfort,68,12,2,2,5,A01 - Lorent,livestock,bay_of_wines,grasslands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,upper_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Rewanfork,69,9,5,5,2,A01 - Lorent,grain,bay_of_wines,woods,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,upper_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Ionnidar,70,9,3,3,3,A01 - Lorent,livestock,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,ionnidar_area,lencenor_region,western_cannor_superregion,europe
Ruby_Pass,71,3,1,1,1,A01 - Lorent,wool,viswall,hills,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,ionnidar_area,lencenor_region,western_cannor_superregion,europe
Ainethan,72,8,4,4,2,A02 - Deranne,wine,bay_of_wines,hills,regent_court,Same religion,high_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,upper_winebay_area,lencenor_region,western_cannor_superregion,europe
Casthil,73,14,6,6,4,A02 - Deranne,paper,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture group,True,True,temperate,mild_winter,no_monsoon,upper_winebay_area,lencenor_region,western_cannor_superregion,europe
Kyliande,74,15,7,7,4,A01 - Lorent,wine,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,upper_bloodwine_area,lencenor_region,western_cannor_superregion,europe
High_Ording,75,10,4,4,3,A17 - Great Ording,livestock,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,northern_flats_area,lencenor_region,western_cannor_superregion,europe
Old_Course,76,6,3,4,1,A13 - Gawed,grain,viswall,woods,regent_court,Same religion,bluefoot_halfling,Different culture group,True,False,temperate,normal_winter,no_monsoon,norley_area,small_country_region,western_cannor_superregion,europe
Gladegate,77,10,5,4,3,A03 - Redglades,wine,bay_of_wines,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,mild_winter,no_monsoon,ionnidar_area,lencenor_region,western_cannor_superregion,europe
Greatfield,78,11,2,5,3,A15 - Eilisin,grain,westport,farmlands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,darom_area,lencenor_region,western_cannor_superregion,europe
Eilisin,79,17,7,7,5,A15 - Eilisin,wine,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,lower_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Pircost,80,8,5,4,2,A15 - Eilisin,cloth,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,True,temperate,mild_winter,no_monsoon,lower_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Foxalley,81,11,5,5,3,A16 - Wineport,wine,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,True,temperate,no_winter,no_monsoon,lower_winebay_area,lencenor_region,western_cannor_superregion,europe
New_Adea,82,7,4,3,2,A01 - Lorent,grain,westport,farmlands,regent_court,Same religion,low_lorentish,Same culture group,True,True,temperate,mild_winter,no_monsoon,shrouded_coast_area,lencenor_region,western_cannor_superregion,europe
Crovans_Rest,83,5,4,3,1,A01 - Lorent,grain,westport,farmlands,regent_court,Same religion,low_lorentish,Same culture group,True,True,temperate,mild_winter,no_monsoon,shrouded_coast_area,lencenor_region,western_cannor_superregion,europe
Coruan,84,14,6,6,4,A18 - Rubenaire,wine,bay_of_wines,farmlands,regent_court,Same religion,sorncosti,Same culture group,True,True,temperate,no_winter,no_monsoon,lower_winebay_area,lencenor_region,western_cannor_superregion,europe
Sornbay,85,22,10,10,6,A09 - Sorncost,wine,westport,farmlands,regent_court,Same religion,sorncosti,Same culture,True,True,temperate,no_winter,no_monsoon,sorncost_vines_area,lencenor_region,western_cannor_superregion,europe
Bottlepoint,86,5,3,3,1,A16 - Wineport,glass,bay_of_wines,farmlands,regent_court,Same religion,sorncosti,Same culture group,True,True,temperate,no_winter,no_monsoon,lower_winebay_area,lencenor_region,western_cannor_superregion,europe
Wesmar,87,8,5,4,2,A14 - Madelaire,grain,westport,farmlands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,northern_flats_area,lencenor_region,western_cannor_superregion,europe
Sornaire,88,17,7,7,5,A09 - Sorncost,wine,westport,farmlands,regent_court,Same religion,sorncosti,Same culture,True,True,temperate,no_winter,no_monsoon,sorncost_vines_area,lencenor_region,western_cannor_superregion,europe
Ebenuel,89,10,4,4,3,A09 - Sorncost,fish,bay_of_wines,grasslands,regent_court,Same religion,sorncosti,Same culture,True,True,temperate,no_winter,no_monsoon,sornhills_area,lencenor_region,western_cannor_superregion,europe
Casna_Ola,90,9,5,5,2,A01 - Lorent,cloth,westport,hills,regent_court,Same religion,sorncosti,Same culture group,True,True,temperate,mild_winter,no_monsoon,shrouded_coast_area,lencenor_region,western_cannor_superregion,europe
Aishill,91,9,3,3,3,A09 - Sorncost,wool,westport,hills,regent_court,Same religion,sorncosti,Same culture,True,True,temperate,no_winter,no_monsoon,sornhills_area,lencenor_region,western_cannor_superregion,europe
East_Ording,92,10,3,2,4,A17 - Great Ording,livestock,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,northern_flats_area,lencenor_region,western_cannor_superregion,europe
Venail,93,17,10,9,4,A21 - Venail,paper,westport,hills,elven_forebears,Same religion,moon_elf,Same culture,True,True,temperate,mild_winter,no_monsoon,venail_area,lencenor_region,western_cannor_superregion,europe
Edilliande,94,11,8,7,2,A21 - Venail,fish,westport,woods,elven_forebears,Same religion,moon_elf,Same culture,True,True,temperate,mild_winter,no_monsoon,venail_area,lencenor_region,western_cannor_superregion,europe
Nurionn,95,11,5,5,3,A14 - Madelaire,cloth,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,True,temperate,mild_winter,no_monsoon,lower_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Enteben,96,10,2,4,3,A18 - Rubenaire,livestock,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,southern_flats_area,lencenor_region,western_cannor_superregion,europe
Minar,97,16,5,12,2,A10 - Minaran Temple,wine,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,no_winter,no_monsoon,lower_winebay_area,lencenor_region,western_cannor_superregion,europe
Saddleglade,98,9,5,5,2,A18 - Rubenaire,livestock,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,no_winter,no_monsoon,southern_flats_area,lencenor_region,western_cannor_superregion,europe
Fioncavin,99,11,5,5,3,A09 - Sorncost,wine,westport,woods,regent_court,Same religion,sorncosti,Same culture,True,False,temperate,no_winter,no_monsoon,sorncost_vines_area,lencenor_region,western_cannor_superregion,europe
Aelhill,100,8,3,4,2,A09 - Sorncost,iron,westport,hills,regent_court,Same religion,sorncosti,Same culture,True,True,temperate,no_winter,no_monsoon,sornhills_area,lencenor_region,western_cannor_superregion,europe
Wineport,101,23,9,9,7,A16 - Wineport,wine,bay_of_wines,city_terrain,regent_court,Same religion,high_lorentish,Same culture,True,True,temperate,no_winter,no_monsoon,lower_winebay_area,lencenor_region,western_cannor_superregion,europe
Lencesk,102,14,6,6,4,A02 - Deranne,fish,westport,woods,regent_court,Same religion,low_lorentish,Same culture group,True,True,temperate,mild_winter,no_monsoon,darom_area,lencenor_region,western_cannor_superregion,europe
Butterburn,103,7,4,3,2,A13 - Gawed,livestock,viswall,farmlands,regent_court,Same religion,bluefoot_halfling,Different culture group,True,False,temperate,normal_winter,no_monsoon,pearpoint_area,small_country_region,western_cannor_superregion,europe
Hollowview,104,6,2,2,2,A01 - Lorent,fish,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,True,temperate,mild_winter,no_monsoon,darom_area,lencenor_region,western_cannor_superregion,europe
Horsegarden,105,8,3,4,2,A14 - Madelaire,livestock,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,darom_area,lencenor_region,western_cannor_superregion,europe
Mistspear,106,4,2,2,1,A01 - Lorent,fish,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,True,temperate,mild_winter,no_monsoon,shrouded_coast_area,lencenor_region,western_cannor_superregion,europe
West_Ording,107,8,3,4,2,A02 - Deranne,livestock,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,northern_flats_area,lencenor_region,western_cannor_superregion,europe
Rubenaire,108,22,8,10,6,A18 - Rubenaire,wine,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,lower_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Elensbridge,109,13,5,5,4,A45 - Istralore,cloth,anbenncost,farmlands,regent_court,Same religion,east_damerian,Same culture,True,False,temperate,mild_winter,no_monsoon,middle_luna_area,east_dameshead_region,western_cannor_superregion,europe
Aelvar,110,11,5,5,3,A02 - Deranne,naval_supplies,westport,woods,regent_court,Same religion,derannic,Same culture,True,True,temperate,mild_winter,no_monsoon,deranne_area,lencenor_region,western_cannor_superregion,europe
Rosereach,111,11,5,5,3,A02 - Deranne,livestock,westport,grasslands,regent_court,Same religion,derannic,Same culture,True,False,temperate,mild_winter,no_monsoon,deranne_area,lencenor_region,western_cannor_superregion,europe
Westport,112,17,5,7,5,A02 - Deranne,naval_supplies,westport,city_terrain,regent_court,Same religion,derannic,Same culture,True,True,temperate,mild_winter,no_monsoon,deranne_area,lencenor_region,western_cannor_superregion,europe
Deranne,113,14,6,6,4,A02 - Deranne,cloth,westport,farmlands,regent_court,Same religion,derannic,Same culture,True,False,temperate,mild_winter,no_monsoon,deranne_area,lencenor_region,western_cannor_superregion,europe
Madelaire,114,17,8,7,5,A14 - Madelaire,wine,bay_of_wines,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,lower_bloodwine_area,lencenor_region,western_cannor_superregion,europe
Ioriellen,115,12,6,6,3,A03 - Redglades,silk,westport,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,no_winter,no_monsoon,redglades_area,lencenor_region,western_cannor_superregion,europe
Autumnglade,116,10,4,6,2,A03 - Redglades,silk,westport,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,normal_winter,no_monsoon,redglades_area,lencenor_region,western_cannor_superregion,europe
Springlade,117,11,5,7,2,A03 - Redglades,silk,viswall,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,mild_winter,no_monsoon,redglades_area,lencenor_region,western_cannor_superregion,europe
Summerglade,118,14,5,6,4,A03 - Redglades,grain,viswall,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,no_winter,no_monsoon,redglades_area,lencenor_region,western_cannor_superregion,europe
Ioriels_Rest,119,7,3,3,2,A01 - Lorent,grain,westport,farmlands,regent_court,Same religion,high_lorentish,Same culture,True,False,temperate,mild_winter,no_monsoon,northern_flats_area,lencenor_region,western_cannor_superregion,europe
Winterglade,120,8,4,4,2,A03 - Redglades,wool,westport,woods,regent_court,Same religion,moon_elf,Same culture,True,False,temperate,severe_winter,no_monsoon,redglades_area,lencenor_region,western_cannor_superregion,europe
Clearshore,121,11,5,5,3,A02 - Deranne,fish,westport,grasslands,regent_court,Same religion,derannic,Same culture,True,True,temperate,mild_winter,no_monsoon,deranne_area,lencenor_region,western_cannor_superregion,europe
Baynoms,122,15,5,5,5,A05 - Reveria,fish,dragon_coast,grasslands,regent_court,Same religion,reverian,Same culture,True,True,temperate,normal_winter,no_monsoon,reaver_coast_area,dragon_coast_region,western_cannor_superregion,europe
Thunderward,123,8,3,4,2,A01 - Lorent,fish,westport,grasslands,regent_court,Same religion,low_lorentish,Same culture group,True,True,temperate,mild_winter,no_monsoon,southroy_area,lencenor_region,western_cannor_superregion,europe
Sildthol,124,8,3,4,2,A01 - Lorent,livestock,westport,farmlands,regent_court,Same religion,low_lorentish,Same culture group,True,False,temperate,mild_winter,no_monsoon,southroy_area,lencenor_region,western_cannor_superregion,europe
